Pressure_kPa,Displacement_mm,Force_N,InternalEnergy_mJ
2.44125,-15,1.37112,12.1049
2.49125,-15,1.38619,12.3499
2.54125,-15,1.40144,12.6006
2.59125,-15,1.41687,12.8571
2.64125,-15,1.43248,13.1194
2.69125,-15,1.44827,13.3876
2.74125,-15,1.46424,13.6617
2.79125,-15,1.48039,13.9418
2.84125,-15,1.49672,14.2279
2.89125,-15,1.51324,14.52
2.94125,-15,1.52995,14.8182
2.99125,-15,1.54684,15.1225
3,-15,1.5498,15.1764
3,-15,1.5498,15.1764
3.01,-15,1.55321,15.2382
3.02,-15,1.55662,15.3003
3.035,-15,1.56176,15.3939
3.0575,-15,1.5695,15.5353
3.06594,-15,1.57241,15.5886
3.06594,-15,1.57242,15.5889
0,-17.5,0.960451,8.73884
0.01,-17.5,0.961998,8.7388
0.02,-17.5,0.963539,8.73892
0.035,-17.5,0.965866,8.7394
0.0575,-17.5,0.96938,8.74081
0.09125,-17.5,0.974702,8.74447
0.14125,-17.5,0.982698,8.75328
0.19125,-17.5,0.990824,8.76617
0.24125,-17.5,0.999082,8.78316
0.29125,-17.5,1.00747,8.80426
0.34125,-17.5,1.016,8.82949
0.39125,-17.5,1.02466,8.85887
0.44125,-17.5,1.03346,8.89241
0.49125,-17.5,1.0424,8.93014
0.54125,-17.5,1.05147,8.97208
0.59125,-17.5,1.06068,9.01824
0.64125,-17.5,1.07003,9.06864
0.69125,-17.5,1.07951,9.12331
0.74125,-17.5,1.08914,9.18226
0.79125,-17.5,1.09891,9.24551
0.84125,-17.5,1.10882,9.31308
0.89125,-17.5,1.11887,9.385
0.94125,-17.5,1.12906,9.46129
0.99125,-17.5,1.1394,9.54196
1,-17.5,1.14121,9.55654
1,-17.5,1.14121,9.55654
1.01,-17.5,1.1433,9.57335
1.02,-17.5,1.1454,9.59035
1.035,-17.5,1.14855,9.61617
1.0575,-17.5,1.15331,9.65565
1.09125,-17.5,1.1605,9.71656
1.14125,-17.5,1.17127,9.81053
