Pressure_kPa,Displacement_mm,Force_N,InternalEnergy_mJ
2.94125,-5,1.24942,15.6664
2.99125,-5,1.26836,16.2023
3,-5,1.27169,16.2973
3,-5,1.27169,16.2973
3.01,-5,1.27552,16.4064
3.02,-5,1.27938,16.5159
3.035,-5,1.28515,16.6811
3.0575,-5,1.2939,16.931
3.09125,-5,1.30712,17.3104
3.14125,-5,1.32695,17.8828
3.19125,-5,1.34708,18.4677
3.24125,-5,1.36751,19.0651
3.29125,-5,1.38824,19.6752
3.34125,-5,1.40928,20.2982
3.39125,-5,1.43062,20.9342
3.44125,-5,1.45228,21.5834
3.49125,-5,1.47425,22.2459
3.54125,-5,1.49653,22.9219
3.59125,-5,1.51914,23.6116
3.64125,-5,1.54206,24.3151
3.69125,-5,1.56531,25.0326
3.74125,-5,1.58889,25.7642
3.79125,-5,1.61279,26.5102
3.84125,-5,1.63703,27.2707
3.89125,-5,1.66161,28.0459
3.94125,-5,1.68652,28.836
3.99125,-5,1.71177,29.6412
4,-5,1.71619,29.7836
4,-5,1.71619,29.7836
4.01,-5,1.72128,29.947
4.02,-5,1.72643,30.111
4.035,-5,1.7341,30.3582
4.0575,-5,1.74573,30.7316
4.09125,-5,1.76328,31.2976
4.14125,-5,1.78959,32.1492
4.19125,-5,1.81624,33.0168
4.24125,-5,1.84324,33.9004
4.29125,-5,1.8706,34.8003
4.34125,-5,1.89832,35.7168
4.39125,-5,1.92641,36.6501
4.44125,-5,1.95487,37.6004
4.49125,-5,1.9837,38.5679
4.54125,-5,2.0129,39.5529
4.59125,-5,2.04248,40.5556
4.64125,-5,2.07245,41.5763
4.69125,-5,2.1028,42.6153
4.74125,-5,2.13355,43.6728
4.79125,-5,2.16468,44.7491
4.84125,-5,2.19621,45.8444
4.89125,-5,2.22815,46.9591
4.94125,-5,2.26049,48.0935
4.99125,-5,2.29324,49.2478
5,-5,2.29896,49.4516
5,-5,2.29896,49.4516
5.01,-5,2.30553,49.6855
5.02,-5,2.31224,49.9204
5.035,-5,2.32214,50.2742
5.0575,-5,2.33723,50.8083
5.09125,-5,2.35993,51.6173
5.14125,-5,2.39398,52.8334
5.19125,-5,2.4284,54.0707
5.24125,-5,2.46326,55.3295
5.29125,-5,2.49855,56.6102
5.34125,-5,2.53428,57.9132
5.39125,-5,2.57045,59.2389
5.44125,-5,2.60707,60.5875
5.49125,-5,2.64414,61.9596
0,-7.5,0.838304,3.28939
0.01,-7.5,0.839398,3.28946
0.02,-7.5,0.840494,3.28979
0.035,-7.5,0.842155,3.29077
0.0575,-7.5,0.844678,3.29332
0.09125,-7.5,0.848535,3.2996
0.14125,-7.5,0.854409,3.31435
0.19125,-7.5,0.860473,3.33565
0.24125,-7.5,0.866729,3.36354
0.29125,-7.5,0.873179,3.39808
0.34125,-7.5,0.879824,3.43932
0.39125,-7.5,0.886665,3.4873
0.44125,-7.5,0.893704,3.54209
